"player_api_id","leagues_played","total_appearances","player_name","overall_rating","gk_attributes"
23415,1,69,"Paul Heffernan",68,48
23425,1,12,"Greg Halford",68,62
23426,1,1,"Wayne Brown",68,131
23431,1,2,"Chris Iwelumo",73,117
23435,1,43,"George Elokobi",70,54
23438,1,27,"Richard Garcia",68,132
23445,1,6,"Steve Banks",67,335
23446,1,66,"Jack Ross",66,131
23453,1,1,"Paul Rachubka",68,335
23463,1,9,"Pawel Abbott",67,85
23464,1,29,"Gary Taylor-Fletcher",74,36
23499,1,3,"Aaron Wilbraham",67,54
23507,1,68,"Michael Nelson",65,56
23512,1,120,"Jon Daly",73,54
23528,1,13,"Andrew Crofts",70,39
23538,1,164,"Matt Jarvis",77,34
23563,1,9,"Caleb Folan",71,51
23571,1,75,"Wes Morgan",78,45
23574,1,120,"Kris Commons",75,56
23575,1,1,"Scott Dobie",64,120
23579,1,41,"James Perch",71,38
23587,2,96,"Felix Bastians",75,46
23593,1,12,"Bradley Orr",67,62
23605,1,1,"Dean Windass",66,129
23628,1,29,"Pierre Wome",78,46
23629,1,66,"Andrew Surman",73,61
23660,1,149,"Jim Goodwin",66,46
23675,1,87,"Marcio Mossoro",78,57
23678,2,174,"Alex Song",83,58
23686,1,69,"Manuel Almunia",81,403
23688,2,110,"Mathieu Flamini",82,149
23692,1,11,"Calvin Zola Makongo",63,54
23697,1,57,"Carl Tremarco",61,50
23720,1,17,"William Haining",64,67
23724,1,2,"Chris Killen",73,114
23727,1,18,"Marc Tierney",68,45
23728,1,21,"Chris Porter",72,114
23729,1,22,"Chris Swailes",60,111
23732,1,8,"Matthew Connolly",70,40
23736,1,11,"Keith Southern",68,36
23740,1,106,"Scott Vernon",69,38
23755,1,35,"Joe Cardle",63,50
23760,1,41,"David Bentley",83,152
23765,1,76,"Patrick Cregg",70,102
23772,1,56,"Graham Stack",67,333
23779,3,23,"Quincy Owusu-Abeyie",75,112
23780,1,162,"Aaron Hughes",78,129
23781,1,2,"Eric Djemba-Djemba",74,126
23782,1,258,"Gareth Barry",84,165
23783,1,233,"Gary Cahill",83,43
23784,1,35,"Gavin McCann",76,119
23785,1,50,"Jlloyd Samuel",71,119
23787,1,140,"Liam Ridgewell",76,50
23788,1,12,"Luke Moore",75,122
23792,2,253,"Steven Davis",80,157
23793,1,4,"Stuart Taylor",75,381
23794,1,98,"Thomas Sorensen",78,385
