"lon","lat"
"496",-97.887797,26.162872
"501",-83.0457538,42.331427
"502",75.8647527,25.2138156
"505",-106.3031138,35.8800364
"506",-51.92528,-14.235004
"514",-86.39027,35.8456213
"515",-84.3879824,33.7489954
"517",-41.0394028,-16.4510937
"518",-81.5157535,27.6648274
"519",-117.940702,33.832084
"520",-74.1199014,40.6045525
"521",-96.7132304,17.0542297
"523",-79.3331041,42.1042241
"524",-74.2330039,40.790429
"525",-80.1917902,25.7616798
"526",-71.0588801,42.3600825
"528",-122.4219175,37.76686
"530",-111.0937311,34.0489281
"535",-99.133208,19.4326077
"536",90.356331,23.684994
"537",-64.8683055,-24.2310284
"540",-96.7969879,32.7766642
"541",-76.6121893,39.2903848
"542",-70.6692655,-33.4488897
"543",72.8776559,19.0759837
"545",-75.690601,4.8087174
"546",-119.4179324,36.778261
"547",-95.6041886,29.72345
"548",-83.753428,9.748917
"549",120.960515,23.69781
"550",-73.9867329,40.7567217
"551",-85.6023643,44.3148443
"552",-110.926479,32.2217429
"553",-122.2711137,37.8043637
"554",-66.58973,6.42375
"555",-93.2986106,44.3139974
"557",-78.8783689,42.8864468
"558",-62.0841599,-31.4249992
"559",-81.5157535,27.6648274
"562",-62.0841599,-31.4249992
"566",-80.1917902,25.7616798
"570",-58.5347609,-34.4640891
"571",-46.6333094,-23.5505199
"572",-96.7969879,32.7766642
"573",-102.552784,23.634501
"574",-99.133208,19.4326077
"576",-74.0059413,40.7127837
"577",-89.3985283,32.3546679
"580",108.93977,34.341575
"581",-71.0588801,42.3600825
"582",-115.1398296,36.1699412
"583",-70.9915997,42.4136428
"584",-65.1654205,-26.8341103
"585",-87.9064736,43.0389025
"586",-67.9954929,-38.938771
"587",-70.5978415,-33.4566678
"588",-0.1277583,51.5073509
"589",-73.8472947,40.7195973
"591",-81.6943605,41.49932
"592",-122.9805104,49.2488091
"593",-65.1654205,-26.8341103
"594",88.363895,22.572646
"595",-78.4751945,-0.1464847
"597",-77.0368707,38.9071923
"599",-119.6893215,36.8053235
"602",-102.552784,23.634501
"604",-81.8661442,28.0582985
"605",-75.3137775,43.0006253
"606",-83.9207392,35.9606384
"609",-70.7197342,41.7614511
"610",-71.4547891,42.9956397
"611",-71.6884912,-35.5183364
"612",-95.4561893,29.7798703
"614",-73.9968807,40.7249194
"615",-78.183406,-1.831239
"616",-3.435973,55.378051
"617",-68.3256555,-54.8075103
"619",-71.0588801,42.3600825
"620",-58.5671668,-34.5012257
"621",-118.2436849,34.0522342
"622",10.5881804,49.9873929
"623",-118.2436849,34.0522342
"624",-95.712891,37.09024
"626",-82.3878709,28.5552719
"627",-73.7948516,40.7282239
"629",-71.0588801,42.3600825
"631",-116.2146068,43.6187102
"632",-58.3815591,-34.6036844
"634",-75.015152,-9.189967
"637",-114.9531961,36.0028748
"638",-74.0059413,40.7127837
"639",-115.5858953,40.7265927
"640",-2.13125,49.214439
"642",-63.616672,-38.416097
"644",-60.6337608,-33.0255203
"649",-74.4056612,40.0583238
"650",-65.2175903,-26.8082848
"652",-95.712891,37.09024
"653",-81.1059309,40.9153362
"659",-81.5157535,27.6648274
"660",-95.712891,37.09024
"662",-74.0059413,40.7127837
"664",-78.7476208,43.3119496
"665",-74.0059413,40.7127837
"667",-74.07701,40.9262762
"668",-97.0403352,32.8998091
"670",100.5017651,13.7563309
"673",-77.216339,38.927775
"674",-84.5521611,34.0577463
"677",-74.0059413,40.7127837
"678",-78.6568942,37.4315734
"679",-77.7952712,38.7134516
"680",-95.712891,37.09024
"681",-73.7946899,40.7215967
"682",-117.9836793,34.521104
"683",-58.473816,-34.5281205
"686",-71.0588801,42.3600825
"688",-78.8783689,42.8864468
"689",-58.7396088,-38.5544968
"691",-71.2190578,42.0334565
"692",74.8559568,12.9141417
"694",29.9187387,31.2000924
